,year,title,plot
22,2009,The Twilight Saga: New Moon,"last time we see saw bella swan she was narrowly escaping the clutches of the evil vampire james while finding love with  '  ' vegetarian '  '  vampire edward cullen .  bella and edward ' s lives have been full of nothing but love and bliss however ,  it all changes one fateful day .  on bella ' s birthday ,  her new found friend and sister of edward ,  alice ,  decides to throw her lavish party ,  complete with balloons ,  ribbons and cake that could feed an army .  all is well until bella accidentally cuts her finger whilst opening a present .  the result is that jasper hale ,  the newest addition to the cullen clan ,  succumbs to his blood lust and attacks bella .  edward decides that while he and his family are around ,  bella ' s life will always be at risk .  so he decides to leave her for her own good .  bella feels her life is over .  enter jacob black ,  a member of the quilite tribe who manages to bring some joy and meaning back into bella ' s life .  however as the two become closer ,  bella discovers jacob has a secret of his own -  he ' s a werewolf .  as if that wasn ' t bad enough bella can ' t seem to get the love of her life ,  edward out of her mind .  with new dangers ,  new friends and new enemies ,  bella finds herself choosing between holding on to the past or accepting a new future .  but what and more importantly who will she choose ?"
24,2012,So Undercover,"molly morris is a private investigator based in dallas and one day f . b . i .  agent armon ranford offers her a job with the f . b . i .  to watch over alex patrone ,  a senator ' s daughter ,  who was involved in an organized crime case .  molly accepts the offer and goes undercover as a sorority student named brooke .  she meets sasha  ,  the head of the sorority and other members esp alex ,  whom she has been hired to protect .  molly also meets nicholas ,  another student at the college and falls in love .  molly begins to suspect professor talloway when she discovers that alex secretly goes off to his lake house .  she reports back to the fbi ,   ( who at one point tells her that nicholas dexter has a fake name which she doesn ' t believe )  .  things get even more complicated as people turn out to be not who they say they are and suspicions fly in every direction ."
25,1975,Rancho Deluxe,"jack mckee and cecil colson are bumbling drifters who make a living by rustling cattle in the wilds of montana .  jack left his wealthy parents because he resented their posh lives .  cecil is of caucasian and native american descent seeking his own path in life away from his father .  both hustle and rustle their way in the world by targeting cattle owned by wealthy ranch - owner john brown .  frustrated that someone is killing his cattle ,  john hires a pair of ranch hands ,  burt and curt ,  to find the rustlers .  when brown realizes he cannot trust his two inept ranch hands ,  he turns to the grizzled former rustler henry beige to find the cattle thieves .  jack and cecil always stay a step ahead of their pursuers ,  not realizing that their luck must run out sometime ."
32,1933,Going Hollywood,"sylvia is the french teacher at briarcroft ' s school for girls ,  but she wants to find romance .  when she hears bill on the radio ,  she decides to leave and thank him .  but he is on his way to hollywood with lili to make a movie .  when sylvia gets to hollywood ,  she finds that seeing bill again is almost impossible ,  but she gets a job in the chorus .  then when lili quits the picture ,  sylvia is tapped to play her character .  but the part she wants is with bill ,  a part that lili seems to have ."
38,2003,Pieces of April,"in a very poor zone of new york ,  april burns and her boyfriend ,  the afro - american bobby ,  are preparing to receive april ' s family for thanksgiving dinner .  while bobby tries to borrow a suit for himself ,  april realizes that her stove is broken .  she tries desperately to find a neighbor that can let her cook the turkey ,  since she does not want to fail  ( again )  with her family .  meanwhile ,  in a suburb of pennsylvania ,  her dysfunctional family is preparing to travel to new york .  while driving ,  the relationship between the burns and their black - sheep april is disclosed through the conversations between her father jim ,  her resented mother joy ,  her brother ,  her sister and her grandmother ."
40,1937,San Quentin,"ex - army officer jameson takes a job a prison guard at san quentin .  joe ,  the brother of his new girlfriend may ,  is sentenced to the prison for robbery .  when jameson tries to separate lawbreakers from hardened criminals ,  badguy hansen tries to stir up trouble by telling joe about jameson ' s interest in his sister ."
54,1999,Doug's 1st Movie,"doug funnie and his friends finds a  "" monster ""  named herman melville ,  who lives in the woods outside their town ,  but when they find the monster was actually kind of nice ,  they find themselves hunted by bad guys ,  who want the monster .  in addition ,  doug has to compete for the attention of patti mayonnaise with a snobby eighth - grader named guy graham .  will doug get to take patti for the valentine ' s day dance ?"
55,2006,The Woods,"in  N  ,  after provoking a fire in a forest ,  the rebel teenager heather fasulo is sent to the boarding school falburn academy in the middle of the woods by her estranged mother alice fasulo and her neglected father joe fasulo .  the dean ms .  traverse accepts heather in spite of the bad financial condition of her father .  the displaced heather becomes close friend of he weird marcy turner ,  while they are maltreated by the abusive mate samantha wise .  during the nights ,  heather has nightmares and listens to voices from the woods ,  and along the days she believes that the school is a coven of witches .  when some students ,  including marcy ,  simply vanish ,  heather believes she will be the next one ."
60,1998,Barney's Great Adventure,"mom and dad dumps their son cody ,   ( all sunglasses and high - tops ,  a study in carefully choreographed cool ,  has no use for such childish folly )  .  their daughter abby ,  her best friend marcella and a baby on the farm with grandpa and grandma for a couple of days .  meanwhile a purple talking dinosaur barney .  but barney and his pals and cody included  ( since he had to join forces with them for the first time )  ,  takes a trip and find that a magical egg -  - which is due to hatch any moment -  - is missing and it was no ordinary egg which people eat for breakfast it ' s a dream maker which has a creature inside .  and it ' s up to barney and the others to get the egg back in the farm before sunset ."
64,1971,Plaza Suite,"three separate stories concerning relationship issues are presented ,  each largely taking place in suite  N  of the plaza hotel in new york city .  in story one ,  suburban new yorkers sam and karen nash are spending the night in the hotel as their house is being painted ,  but more importantly for karen because it is their twenty -  "" something ""  wedding anniversary ,  the hotel where they spent their honeymoon .  while karen wants to recreate the romance that she remembers of their wedding night ,  sam is preoccupied with business matters .  but it is other issues that highlight their fundamental differences that may demonstrate if they will make it to twenty - something plus one .  in story two ,  womanizing hollywood movie producer jesse kiplinger has exactly two hours free during his whirlwind stay in new york ,  which he wants to fill with a quickie .  of the many women he calls ,  the first to agree to meet at his suite is his old hometown flame ,  married muriel tate .  muriel ,  who knows what jesse wants ,  he who she has not seen in fifteen years ,  is a bundle of nerves as she continuously second guesses herself in whether she should have come .  and in story number three ,  there are a roomful of people in the baroque room of the hotel for the wedding and following reception of borden eisler and mimsey hubley ,  the event which is being paid for by mimsey ' s penny - pinching father ,  roy hubley .  what the people in the baroque room are unaware of is that mimsey has locked herself in the bathroom of the hotel suite ,  but not saying a word to either her father or mother ,  norma hubley ,  as to the reason for her cold feet .  as roy and norma try whatever they can to get mimsey out of the bathroom while stalling the eislers in the baroque room ,  roy and norma also focus on issues in their own relationship and how they raised mimsey ,  which may be appropriate if they learn the reason for mimsey ' s cold feet ."
72,2014,I Am Ali,"an intimate and heart - warming look at the man behind the legend  -  as we ' ve never seen ali before .  told through exclusive ,  unprecedented access to ali ' s personal archive of  ' audio journals '  combined with touching interviews and testimonials from his inner circle of family and friends ,  including his daughters ,  son ,  brother and former wife ,  plus legends of the boxing community including mike tyson ,  george foreman and gene kilroy ."
74,2010,Welcome to the Rileys,"in indianapolis ,  douglas lloyd  ' doug '  riley and lois riley are a estranged couple married for almost thirty years that grieves the loss of their fifteen year - old daughter emily .  doug is a well succeeded businessman in plumbing business that likes to play poker every thursday with his friend and to meet his mistress ,  the waitress vivian  ( eisa davis )  ,  after the game .  lois is agoraphobic ,  takes many pills and does not have sex with doug .  when vivian unexpectedly has a heart attack and dies ,  doug goes to the cemetery and finds a tombstone that lois has ordered with her and his names .  this is the last straw in their relationship and doug travels to a plumbing conference in new orleans feeling lost .  doug is wandering on the streets and stumbles with a nightclub .  the young stripper and prostitute mallory invites doug to a private lap dance and when he see his acquaintances from the conference in the nightclub ,  he accepts her invitation to hide from them but he does not have sex with the teenager .  there is an incident but then he takes mallory home and decides to stay in her derelict house to help her .  doug calls lois and tells to her that he would stay in new orleans for a while .  lois decides to drive to new orleans in doug ' s car and he introduces her to mallory ,  whose real name is allison .  the couple projects emily in allison ,  but is there still hope or is it too late for allison and themselves ?"
77,2011,The Son of No One,a rookie cop is assigned to the  N  precinct in the same district where he grew up .  the precinct captain starts receiving letters about two unsolved murders that happened many years ago in the housing projects when the rookie cop was just a kid .  these letters bring back bad memories and old secrets that begin to threaten his career and break up his family .
78,2011,Beastly,"a chip off the not - so - old or modest block ,  kyle kingson is a high school senior at prestigious buckston academy high school in new york city .  he knows that he is wealthy and good - looking ,  and ,  based on the tenets of rob kingson ,  his wealthy ,  good - looking and self - absorbed news anchor father ,  kyle believes those traits get one everything in life .  smug kyle treats poorly and with disdain those who are unattractive or different .  although kyle is generally idolized by his classmates ,  there are the few who want to see him brought down a notch or three because of his vainglorious attitude ,  and chief amongst them is kendra .  after a prank kyle perpetrates on her -  - one that she saw coming a mile away -  - kendra ,  a sorceress ,  places a spell on kyle ,  disfiguring his face .  the spell will be broken if someone can truly tell him that she loves him .  if no one does so within a year ,  the disfigurement will be permanent .  as rob implies that he would rather have a dead son than an ugly son ,  he places kyle in hiding ,  with only their housekeeper ,  jamaican immigrant zola davies  ( who kyle previously also treated poorly )  ,  and a tutor ,  a blind man named will ,  in the house with kyle .  kyle quickly changes his attitude because of his situation .  he can see that he loves lindy ,  a classmate to whom he never paid any attention in three years of going to the same school .  she ,  self - described as more substance over style ,  is smart but from the proverbial wrong side of the tracks ,  and trying to get away from the troubled life with her drug - addicted father .  more than anything ,  kyle wants to be her protector ,  especially from that life .  teaching kyle to know how to act around someone like lindy may be a little more difficult than changing his attitude ,  but he requires and accepts the help of the more insightful zola and will .  regardless ,  kyle still has to overcome his physical appearance ,  which he cannot do before someone  ( lindy ,  he hopes )  tells him that she truly loves him for who he is inside ."
89,1995,First Knight,"after king arthur of camelot has fought several wars which has led to peace and justice for his land ,  he is turning his attention to thoughts of marriage ,  his chosen one being lady guinevere ,  who has become head of neighboring leonesse following the death of her father .  peace and justice for arthur and guinevere are short lived as prince malagant ,  one of the knights of the round table ,  wants camelot for himself and king arthur deposed .  many in the land follow malagant ,  whose quest also involves marauding leonesse .  as the king ' s betrothed ,  guinevere becomes malagant ' s target in achieving both his goals .  meanwhile ,  lancelot is a free - living peasant who often makes his way through life by demonstrations of his sword fighting prowess .  his skill is largely due to his ability to assess his opponents ,  and not fear dying .  on malagant ' s first attempt at abducting guinevere ,  lancelot ,  by happenstance ,  is there to save her .  he falls in love with her at first sight .  although attracted to the man who saved her ,  guinevere cannot think of any other man in the lead up to her marriage to arthur .  because of his attraction to guinevere ,  lancelot becomes involved in the battles between malagant and arthur in lancelot doing whatever needed to keep guinevere safe .  as these battles brew and as arthur becomes indebted to lancelot for saving guinevere at the possible expense of his own life ,  guinevere cannot help but fall for lancelot ,  resulting in a romantic triangle comprised of arthur ,  guinevere and lancelot ,  a triangle of which arthur is unaware ."
94,2007,Love in the Time of Cholera,"at the end of the  N th century in cartagena ,  a marine port in colombia ,  florentino ariza falls in love at first sight of fermina daza .  they secretly correspond and she eventually agrees to marry but her father discovers their relationship and sends her to distant relatives .  when she returns some years later ,  fermina agrees to marry dr .  juvenal urbino ,  her father ' s choice .  their fifty year marriage is marked by roughly equal amounts of love and anger .  fermina ' s marriage devastates florentino ,  but his mother throws a willing widow into his bed and he discovers that sex is a very good pain reliever .  he begins to number and describe each of his women ,  beginning with   N  ,  the widow ,  and eventually has over  N  names and notes .  he also decides to be as successful and rich as dr .  urbino and ,  when the doctor dies suddenly ,  immediately renews his courtship of fermina ."
97,2012,ParaNorman,"in blithe hollow ,  the outcast boy norman babcock lives with his father perry ,  his mother sandra and his teenage sister courtney .  norman is considered a freak by his schoolmates since he speaks to the dead ,  including his grandmother who watches horror movies on television with him .  however nobody believes that norman has this ability besides his friend neil .  norman ' s deranged uncle mr .  prenderghast meets norman and tells him that he must protect blithe hollow from a witch ' s curse .  soon mr .  prenderghast dies and his ghost explains to norman that he should get his book and perform a ritual in the witch ' s grave .  norman finds the book  -  a fairytale  -  and then goes to the seven graves where the men who condemned the witch are buried .  however ,  norman is interrupted by the school bully alvin ,  and the dead arise and invade the town .  soon norman has a dream and finds that the witch is the girl agatha that was sentenced to death in  N  due to her medium ability .  now norman needs to convince agatha that her revenge is making her the same as those who killed her ."
98,1927,Underworld,"' nobody helps me  -  -  i help them !  '  boasts open - handed gangster bull weed ,  handing over what will prove to be the best investment in his high - spending career :  a thousand dollars that will put the literate  ' rolls royce '  of vagrants back on his feet .  living it up in the twenties with the aid of cool but smouldering moll feathers ,  the bull lords it over the law and his rivals alike  -  -  specifically big buck mulligan ,  whose floral - tributes business echoes that of a certain real - life chicago gangster .  .  .  yet feathers ,  prize possession and object of envy ,  proves his weak point ;  and in the end ,  bull weed will indeed come to need help from others ,  and more than he has ever needed it before .  but can rolls royce and feathers still give it to him ?  and will the bull accept ?"
105,2008,Redbelt,"the idealistic instructor of jujitsu ,  mike terry ,  refuses to compete in the ring for principle and is training the promising fighter and police officer joe collins .  when the stressed lawyer laura black stumbles in his academy in a rainy night ,  she accidentally shots joe ' s pistol breaking the front window .  mike and joe do not report the incident ,  and mike ' s wife sondra tells him that they do not have money to repair the window .  mike seeks sondra ' s brother in a bar to raise a loan ,  but he does not find his brother - in - law ;  he befriends the actor chet frank after rescuing him in a fight in the bar .  chet invites terry and sondra for a dinner party at his home and gives a golden watch as a gift .  mike gives the watch to joe for pawning ,  but the watch is stolen and joe gets in trouble in the police .  meanwhile mike ' s idea of fight with handicap is stolen by a group of gamblers and sondra raises a debt of us$  N  ,  N  .  N  for an unsuccessful business with chet ' s wife .  without other option ,  mike decides to fight in the ring to raise the necessary money to pay his debts ."
115,1995,Habit,"it ' s autumn in new york .  sam has broken up with his girlfriend and his father has recently died .  world - weary and sloppy drunk ,  he finds temporary solace in the arms of anna ,  a mysterious vampire who draws him away from his friends and into a web of addiction and madness ."
116,1972,Deliverance,"the cahulawassee river valley in northern georgia is one of the last natural pristine areas of the state ,  which will soon change with the imminent building of a dam on the river ,  which in turn will flood much of the surrounding land .  as such ,  four atlanta city slickers  -  alpha male lewis medlock ,  generally even - keeled ed gentry ,  slightly condescending bobby trippe ,  and wide - eyed drew ballinger  -  decide to take a multi - day canoe trip on the river ,  with only lewis and ed having experience in outdoor life .  they know going in that the area is ethno - culturally homogeneous and isolated ,  but don ' t understand the full extent of such until they arrive and see what they believe is the result of generations of inbreeding .  their relatively peaceful trip takes a turn for the worse when half way through they encounter a couple of hillbilly moonshiners .  that encounter not only makes the four battle their way out of the valley intact and alive ,  but threatens the relationships of the four as they do and are asked to do things they never thought possible within themselves ."
117,2000,"Dude, Where's My Car?","jesse and chester are two potheads who got so wasted the night before ,  they don ' t remember a thing !  all they know is jesse ' s car is gone and they encounter a transsexual stripper who wants his / her suitcase of stolen money ,  a group of alien - seeking nerds and an angry street gang .  and their girlfriends wilma and wanda are super - pissed that they trashed their house .  and they must find a  "" continum transfuctioner ""  ,  a mystical device that could either save or destroy the world .  and a group of jumpsuit - wearing ,  sexy - as - hell ,  aliens posing as humans want it .  .  .  ."
125,1922,The Frozen North,"this satirical parody of william s .  hart ' s melodramatic films finds buster in the frozen north ,   "" last stop on the subway .  ""  he uses a wanted poster as his partner in robbing a gambling house .  when he thinks he spies his wife making love to another man he shoots them both only to learn it isn ' t his cabin after all ."
126,1991,The Hitman,"after surviving an attempt on his life by his former partner ,  officer cliff garrett  ( norris )  exacts revenge on those who wronged him by going undercover as a hit man .  he works to gain the reputation and trust needed in order to be accepted by the burgeoning seattle - area criminal underworld ,  but it is all done in order to take it down from within ."
130,1960,The Leech Woman,"when a very old african woman offers an ambitious endocrinologist the secret of eternal youth ,  he decides to take his estranged and no - longer - young - and - beautiful wife along with him on the safari .  but then she finds out the true reason for their sudden reconciliation is so that she can serve as his guinea pig .  hell hath no fury like a woman scorned ,  especially one with a stolen pineal gland tapper .  but once you try nipe ,  there ' s no going back ."
133,2010,The Truth,"when a couple is taken hostage in their home by an intruder ,  a simple home invasion robbery turns into something much more complicated .  the wife may ,  or may not ,  know the intruder ;  and the intruder may ,  or may not ,  have previously crossed paths with the husband .  can a couple survive once they have been exposed to each other for who  ( and for what )  they really are ?  is the intruder actually there just to rob them ?  what are they each trying to hide from him and from each other ?"
137,1996,The Fan,"gil renard is a salesman in the knife business and is also completely obsessed with the game of baseball .  because he is from san francisco he is a fan of the giants ,  by the beginning of the season the giants have signed all - star center - fielder bobby rayburn to a  N  million dollar contract .  but ,  things do not go well for both gil and rayburn .  rayburn is slumping and gil loses his job and eventually his wife and son .  however after gil loses his job and his family ,  he goes deeper into his obsession with rayburn and takes matters into his own hands .  he believes that rayburn is slumping because of another giants player named juan primo who is playing well .  so gil secretly helps him out .  but when gil feels that rayburn is ungrateful ,  gil kidnaps his son ,  sean .  now ,  rayburn must perform at his best at the last game of the season in order to save his son ."
138,1940,Charlie Chan at the Wax Museum,"steve mcbirney ,  sentenced to death for murder ,  makes a daring escape from a new york city courthouse and vows revenge against the chief witness against him ,  charlie chan .  mcbirney and a confederate hide out at a local wax museum run by dr .  cream ,  who makes a lucrative side income from performing plastic surgery on fugitive criminals .  the museum is also the site for a weekly radio show on notorious crimes .  when charlie accepts the challenge of noted criminologist dr .  otto von brom to debate him on a controversial cold case involving the infamous butcher dagen ,  currently presumed dead ,  mcbirney now has the perfect opportunity to strike at his nemesis ."
140,2010,Gulliver's Travels,"lemuel gulliver has been working in the mail room of a new york daily newspaper for the past ten years .  afraid to put himself out there ,  he considers himself a loser ,  as do all his peers .  one day ,  after having finally had enough ,  he decides to declare his flame to the beautiful darcy silverman ,  the newspaper ' s travel editor and one of gulliver ' s only friends .  .  . only to chicken out at the last minute and instead tell her that he ' d like to try his hand at writing a column .  darcy accepts and sends him on an assignment to the bermuda triangle .  there ,  gulliver becomes shipwrecked and ends up on the island of liliput ,  where he is twelve taller than the tallest man .  for the first time ,  gulliver has people looking up to him .  .  ."
141,2013,White House Down,"john cale is a policeman and former serviceman who wants to be a secret service agent cause he hopes it can bring him and his estranged daughter together because she is a big fan of the president .  when he goes for his interview ,  he brings his daughter along .  but the person who interviews him ,  knows him and tells him he just lacks some of the requirements needed to be an agent .  so he goes to get his daughter to leave but when someone asks them if they want to go on a tour of the white house she accepts .  later there ' s an explosion and some of the men working kill the security and go to the armory to get more weapons .  and they proceed to take over the white house .  when the president hears what ' s going on ,  the secret service man in charges decides to take him to the bunker but when they get there ,  he kills everybody and points a gun at the president .  cale is being held in a room by some men with guns .  his daughter stepped out to go to the bathroom .  cale then gets away to find her .  but he hears what ' s going on in the bunker and saves the president and takes him away .  the secret service man tells the others to get the president alive cause they need him to carry out their plans .  cale tries to get the president out but must also save his daughter ."
145,2001,Artificial Intelligence: AI,"in the not - so - far future the polar ice caps have melted and the resulting rise of the ocean waters has drowned all the coastal cities of the world .  withdrawn to the interior of the continents ,  the human race keeps advancing ,  reaching the point of creating realistic robots  ( called mechas )  to serve them .  one of the mecha - producing companies builds david ,  an artificial kid which is the first to have real feelings ,  especially a never - ending love for his  "" mother ""  ,  monica .  monica is the woman who adopted him as a substitute for her real son ,  who remains in cryo - stasis ,  stricken by an incurable disease .  david is living happily with monica and her husband ,  but when their real son returns home after a cure is discovered ,  his life changes dramatically ."
147,1968,The Heart Is a Lonely Hunter,"sentimental story centers around a deaf - mute ,  singer ,  and mick ,  a teenager who lives in the house where he rents a room .  mick and singer become friends ,  though they are separated by singer ' s lack of communication ability and mick ' s struggle with teenage problems .  the lives of the people singer touches are varied ,  linked only by their friendship with singer .  his friends include a deaf - mute ,  a drunk ,  and a doctor .  singer does his best to help those around him solve their problems ,  but who is there to help him solve his own ?"
148,2007,Trainwreck: My Life as an Idiot,"a dramatic comedy about a self - induced attention - deficit disordered ,  learning disabled ,  tourette ' s syndrome suffering ,  balance impaired ,  alcoholic young man from the upper east side of manhattan and the gold - digging girl who inspires him to try to get it together ."
153,1972,Lucifer Rising,egyptian gods summons the angel lucifer  -  in order to usher in a new occult age .
154,1964,The Chalk Garden,"a grandmother seeks a governess for her  N  year old granddaughter ,  laurel ,  who manages to drive away each and every one so far by exposing their past ,  with a record of three in one week !  when an applicant with a mysterious past manages to get the job ,  laurel vows to expose her .  meanwhile ,  laurel ' s married - divorced - married mother tries to get her back ."
155,1931,The Miracle Woman,"sorry  -  the movie opens when fallon ' s father has died ,  preparing to preach his sunday sermon .  florence steps up to the pulpit in tears and decries the congregation as hypocrites .  this is one of the best moments of stanwyck ' s early films as she literally drives them out of the church with her anger and passion .  it ' s that passion that huckster horsby picks up on .  stanwyck fans should see this at least once ."
158,1997,Alien: Resurrection,"it is  N  years since ellen ripley died on fiorina  N  .  ripley ' s former employers ,  the weyland - yutani company has dissolved and now the united systems military has assumed the task of breeding and harnessing the deadly aliens .  with blood samples taken from her previous life ,  scientists clone a new ripley in order to extract the queen alien inside of her .  the new ripley ,  known as number  N  ,  acquires physical and emotional traits from both humanity and the aliens ,  making her question where her allegiances lie .  shortly after ,  the aliens break free and commence killing those onboard .  ripley ,  along with a crew of smugglers that unknowingly helped in delivering hosts to breed the alien species ,  must now escape the perilous ship .  along the way ,  ripley encounters a shocking revelation that truly sets herself against both humanity and the alien species .  she must now decide what she truly is ,  in order to save humanity once more ."
159,1980,My Bodyguard,"clifford peache is the new kid in lake view high school .  faced with all the stress that role entails he makes his situation worse by insulting moody ,  the leader of a group of toughs who extort lunch money from kids .  these punks pretend to be bodyguards for the kids to protect them from linderman who ,  it is rumored ,  killed his brother in cold blood .  clifford befriends the sullen linderman and hires him as his bodyguard .  when moody ups the ante ,  linderman must decide whether fighting for what he believes in ,  with his haunted past and image ,  is justified ."
161,1962,Eegah,"while driving through the desert ,  a teenage girl is frightened by a seven - foot giant which appears in her path .  after escaping ,  she returns to the site with her boyfriend and her father in an attempt to find the giant .  they do ,  and it proceeds to terrorize them and the rest of palm springs ,  california ."
162,2009,Serious Moonlight,"louise wants to find a way to reconnect with her husband ,  ian ,  who is divorcing her after many years of marriage .  but when she surprises him at their country home ,  she is more than slightly dismayed that the roses and romantic set - up are not for her but for his much younger mistress .  louise takes matters into her own hands ,  and abducts ian duct - taping him to the toilet ,  where he must admit to his true feelings and he is unable to leave her .  things grow exceedingly awry for everybody when a burglar shows up at their house ,  and then everybody must discover and admit to their true feelings ."
163,1994,Above the Rim,"story of kyle - lee watson ,  a promising high school basketball star ,  and his relationships with birdie ,  a powerful drug dealer ,  and birdie ' s brother ,  thomas  ' shep '  sheppard ,  himself once a promising high school star at kyle ' s school ,  now employed as a security guard ."
